Symbol,AtomicMass,AtomicRadius,Electronegativity,IonizationEnergy,ElectronAffinity,Polarizability,results_per_total,results_per_cation,CationSites,CounterIonSites,results_per_counter_ion,res_per_volm_per_site,Result,SpaceGroup,SpaceGroupNumber,Total Sites,Reduced Formula
S,32.07,180.0,2.58,10.36,2.077,19.4,1.6149701321072,3.2299402642144,0.5,0.5,0.0032299402642144,7.101818421579384e-05,0.07101818421579384,F-43m,216,2,MgS
P,30.973762,180.0,2.19,10.487,0.746,25.0,4.960077918012764,8.26679653002127,0.6,0.4,0.012400194795031908,0.00022902562624244998,0.22902562624245,Ia-3,206,40,Mg3P2
In,114.818,193.0,1.78,5.786,0.3,65.0,9.861909687463422,9.928097000802103,0.9933333333333333,0.006666666666666667,1.4792864531195131,0.0004293450545894539,0.42934505458945393,P-6m2,187,150,Mg149In
Cl,35.45,175.0,3.16,12.968,3.617,14.6,1.479559981842128,4.438679945526384,0.3333333333333333,0.6666666666666666,0.002219339972763192,6.47807918839901e-05,0.06478079188399011,P-3m1,164,3,MgCl2
Mg,24.305,173.0,1.31,7.646,,71.2,8.48268090061427,8.539611644913697,0.9933333333333333,0.9933333333333333,0.008539611644913696,0.00036844603340360885,0.3684460334036089,P-6m2,187,150,PmMg149
Be,9.012183,153.0,1.57,9.323,,37.74,8.874615864785724,8.9341770450863,0.9933333333333333,0.006666666666666667,1.3311923797178586,0.00039098640223840807,0.3909864022384081,P-6m2,187,150,Mg149Be
O,15.999,152.0,3.44,13.618,1.461,5.3,3.219278074425169,6.438556148850338,0.5,0.5,0.006438556148850337,0.0002824773527145892,0.2824773527145892,P1,1,80,MgO
Ni,58.693,163.0,1.91,7.64,1.156,49.0,10.107379461689154,10.175214223176999,0.9933333333333333,0.006666666666666667,1.516106919253373,0.00044253505790661253,0.4425350579066125,P-6m2,187,150,Mg149Ni
O,15.999,152.0,3.44,13.618,1.461,5.3,2.9158351394830833,5.8316702789661665,0.5,0.5,0.005831670278966167,0.0002064003619796535,0.2064003619796535,P6/mcc,192,24,MgO
N,14.007,155.0,3.04,14.534,,7.4,5.993727664149476,9.989546106915792,0.6,0.4,0.01498431916037369,0.0004894566885916559,0.4894566885916559,Ia-3,206,40,Mg3N2
O,15.999,152.0,3.44,13.618,1.461,5.3,2.799890699879725,5.59978139975945,0.5,0.5,0.005599781399759449,0.00023630743912736303,0.23630743912736302,Cm,8,12,MgO
Zn,65.4,139.0,1.65,9.394,,38.67,9.656855083608331,9.72166619155201,0.9933333333333333,0.006666666666666667,1.4485282625412497,0.00042000663850955193,0.42000663850955194,P-6m2,187,150,Mg149Zn
As,74.92159,185.0,2.18,9.815,0.81,30.0,2.6401983556661173,13.200991778330586,0.2,0.8,0.0033002479445826466,0.00011241114109642453,0.11241114109642453,P4_12_12,92,20,MgAs4
Mo,95.95,209.0,2.16,7.092,0.746,87.0,8.83937901503054,8.898703706406582,0.9933333333333333,0.006666666666666667,1.3259068522545807,0.0003879906797736155,0.3879906797736155,P-6m2,187,150,Mg149Mo
